PID,Field_2,Field_5,Field_10,Field_7,Field_20,Field_4,Field_3,Field_8,Field_6,Field_9
lsu-ag-agexp:914,The,"Owen, W. L. (William Ludwell), 1884-",aut,Author,Contributor,ctb,Sugar Experiment Station (La.),Ramires-Jones printing co.,1911,LUU
,The,MILAD,,,Contributor,,,"Louisiana Bulletin. Ser. 2, no. 125 (1911)",,
,bacterial deterioration of sugars.,,,,,ctb,Louisiana Agricultural Experiment Station.,,http://louisianadigitallibrary.org/islandora/object/lsu-ag-agexp:collection,
,,S67 .E27,,Volume,,,,,,
,,,,Please submit an LSU Special Collections reference ticket at https://askus.lielem.lsu.edu/special for any questions or comments about this digital object.,,Agriculture,,125,5/13/2014,
,,,,2018-12-11-06:00,,Louisiana,,,eng,
,,,,,,,,,,
,,This item is in the public domain.,,,,Sugar,,,,
,,,,,,Research,,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,,
,,,,,,Louisiana,,,,
,,,,,,,,,,
,,,,,,Sugar,,,,
,,,,,,Manufacture and refining,,,,
,,,,,,Periodicals,,,,
,,,,,,,,,,
,,,,,,Sugarcane,,,,
,,,,,,Louisiana,,,,
,,,,,,,,,,
,,,,,,Sugarcane,,,,
,,,,,,Louisiana,,,,
,,,,,,Periodicals,,,,
,,,,,,,,,,
